dataset_name,task_type,llm_model,has_description,prompt_representation_type,prompt_example_type,prompt_number_example,number_tokens,number_bool,number_int,number_float,number_string
aloi,regression,gpt-4-turbo,Yes,S,Random,0,1622,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SDVC,Random,0,2288,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SMVF,Random,0,2799,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SSN,Random,0,4863,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SCV,Random,0,2671,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SDVCMVF,Random,0,3598,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SDVCSN,Random,0,5533,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SMVFSN,Random,0,6043,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SMVFCV,Random,0,3851,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,SSNCV,Random,0,5916,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,ALL,Random,0,7065,0,129,0,0
aloi,regression,gpt-4-turbo,Yes,CatDB,Random,0,6074,0,129,0,0
aloi,regression,gpt-4-turbo,No,S,Random,0,1502,0,129,0,0
aloi,regression,gpt-4-turbo,No,SDVC,Random,0,2168,0,129,0,0
aloi,regression,gpt-4-turbo,No,SMVF,Random,0,2679,0,129,0,0
aloi,regression,gpt-4-turbo,No,SSN,Random,0,4743,0,129,0,0
aloi,regression,gpt-4-turbo,No,SCV,Random,0,2551,0,129,0,0
aloi,regression,gpt-4-turbo,No,SDVCMVF,Random,0,3478,0,129,0,0
aloi,regression,gpt-4-turbo,No,SDVCSN,Random,0,5413,0,129,0,0
aloi,regression,gpt-4-turbo,No,SMVFSN,Random,0,5923,0,129,0,0
aloi,regression,gpt-4-turbo,No,SMVFCV,Random,0,3731,0,129,0,0
aloi,regression,gpt-4-turbo,No,SSNCV,Random,0,5796,0,129,0,0
aloi,regression,gpt-4-turbo,No,ALL,Random,0,6945,0,129,0,0
aloi,regression,gpt-4-turbo,No,CatDB,Random,0,5954,0,129,0,0
aloi,regression,gpt-4-turbo,yes,CAAFE,Random,10,89640,0,0,0,0
aloi,regression,gpt-4-turbo,no,CAAFE,Random,10,88570,0,0,0,0
